駅名,建物構造,徒歩分,専有面積,間取り,部屋数,築年,所在階,成約価格
三田,SRC,8,74,DK,1,197103,3,54700000
白金高輪,SRC,1,65,K,2,200303,15,91600000
高輪台,RC,3,47,R,1,201509,1,60600000
六本木一丁目,SRC,13,56,R,1,201509,1,93500000
浜松町,SRC,3,60,R,3,200608,1,62600000
溜池山王,RC,13,23,R,1,201102,3,23000000
虎ノ門,RC,7,28,K,3,198205,7,23300000
青山一丁目,SRC,10,150,K,1,200409,2,202400000
白金台,RC,2,45,K,1,200906,27,73600000
天王洲アイル,RC,14,63,R,1,199901,5,40300000
泉岳寺,RC,14,36,K,1,200206,11,34900000
表参道,RC,1,61,K,3,200110,8,87000000
虎ノ門,SRC,2,54,K,2,198211,10,46900000
日の出,RC,5,99,R,2,197605,36,79400000
芝浦ふ頭,SRC,5,67,K,1,200502,10,65100000
芝浦ふ頭,SRC,5,21,R,1,200401,7,16700000
北品川,RC,8,63,R,1,199703,4,49900000
赤坂見附,SRC,6,63,R,1,198208,4,55600000
北品川,SRC,5,42,K,1,200003,6,34800000
青山一丁目,RC,12,94,K,2,200610,9,94500000
日の出,RC,6,59,K,2,200305,11,63900000
泉岳寺,RC,1,45,K,2,197909,7,41400000
天王洲アイル,RC,14,65,R,1,197711,3,37300000
神谷町,RC,13,81,DK,1,200303,26,96800000
芝公園,SRC,4,66,K,3,197808,3,47800000
田町,SRC,5,47,R,3,198203,3,29500000
三田,RC,5,59,K,1,200610,10,64400000
御成門,SRC,5,81,R,1,200209,22,111900000
汐留,SRC,15,17,R,2,200710,4,24700000
神谷町,RC,6,90,K,3,200510,5,129500000
品川,RC,5,59,R,3,200708,6,67400000
青山一丁目,RC,8,69,K,1,197808,5,56600000
白金高輪,RC,4,69,DK,2,197710,2,50900000
大門,SRC,8,55,R,1,201509,30,88300000
白金高輪,SRC,2,132,R,3,200608,9,181600000
乃木坂,SRC,14,56,R,3,200105,4,45200000
浜松町,SRC,2,30,K,3,197310,5,17100000
神谷町,RC,3,62,R,1,200610,2,81700000
青山一丁目,SRC,1,19,R,2,200403,10,27400000
外苑前,SRC,6,26,R,1,201407,14,48000000
北品川,RC,5,24,R,3,200306,8,22600000
白金高輪,SRC,8,90,K,1,197903,8,77900000
神谷町,SRC,3,66,R,1,196908,3,51800000
天王洲アイル,SRC,14,23,DK,2,200602,6,26200000
高輪台,RC,5,70,K,3,201312,15,90100000
赤坂,SRC,6,67,R,1,200510,4,88200000
表参道,SRC,6,71,K,2,197006,21,70300000
広尾,RC,3,68,DK,2,201509,6,120000000
浜松町,RC,3,55,K,1,201403,2,61400000
北品川,SRC,10,54,R,3,197909,4,36000000
六本木,SRC,2,65,R,1,201203,3,116300000
御成門,RC,9,102,R,1,197512,9,75700000
汐留,SRC,4,27,K,1,201108,2,37900000
北品川,RC,5,70,R,1,201509,5,87400000
芝浦ふ頭,RC,8,58,R,2,196904,4,34500000
高輪台,SRC,5,55,R,1,200610,23,73800000
天王洲アイル,RC,12,62,R,3,200504,2,50200000
表参道,SRC,1,81,K,1,199706,10,121500000
芝公園,RC,1,24,K,2,200502,1,29500000
乃木坂,RC,4,31,K,1,200205,3,38300000
汐留,SRC,2,43,DK,1,201206,5,69400000
赤羽橋,SRC,3,25,K,1,201111,22,44800000
六本木,RC,3,35,R,1,200209,4,47200000
赤坂,SRC,2,87,R,3,199803,26,122900000
芝浦ふ頭,RC,5,22,K,1,197808,10,16400000
芝公園,SRC,3,40,R,1,200906,2,47400000
乃木坂,SRC,10,20,R,2,197712,2,17500000
新橋,SRC,6,26,R,1,200810,4,23200000
赤坂,RC,7,40,R,2,200311,2,48900000
五反田,SRC,4,92,R,2,200401,37,121200000
五反田,SRC,8,49,DK,3,200103,3,39600000
田町,SRC,3,65,K,3,200610,3,70100000
芝浦ふ頭,RC,11,29,K,1,200212,1,25000000
浜松町,SRC,8,53,R,1,198011,19,42900000
青山一丁目,RC,9,44,R,3,201202,3,52900000
麻布十番,RC,7,23,R,3,200611,1,30000000
虎ノ門,SRC,4,23,DK,1,198402,1,18300000
渋谷,RC,7,65,R,3,197708,19,50100000
目黒,RC,5,63,R,2,200407,5,63900000
広尾,SRC,6,70,DK,2,199801,5,87800000
大門,RC,10,40,K,1,200610,3,35800000
芝浦ふ頭,RC,1,32,DK,3,200610,1,36400000
品川,RC,8,85,DK,1,200601,4,82600000
溜池山王,SRC,11,53,R,1,201208,4,72900000
青山一丁目,SRC,4,38,DK,3,201901,24,80900000
赤坂,RC,3,70,K,2,200508,6,106100000
青山一丁目,RC,3,82,R,1,196911,5,74600000
田町,SRC,5,78,R,1,201408,28,151900000
乃木坂,SRC,10,71,K,2,201110,12,98700000
泉岳寺,RC,4,80,K,1,197012,8,70000000
品川,SRC,1,22,DK,2,201110,9,27200000
虎ノ門,RC,6,84,K,1,198205,5,76800000
新橋,RC,2,56,DK,1,201208,1,67900000
大門,RC,3,74,K,2,200511,4,87600000
浜松町,SRC,3,76,K,2,197105,22,73500000
田町,RC,5,43,R,1,201509,27,67000000
乃木坂,RC,7,56,R,1,199709,11,57300000
青山一丁目,SRC,3,31,R,1,201402,2,50000000
北品川,RC,12,66,R,1,201003,3,58500000
広尾,SRC,10,88,R,2,201208,8,153600000
麻布十番,RC,6,22,R,1,200508,7,27300000
天王洲アイル,SRC,2,158,DK,1,196604,3,97600000
大門,SRC,4,91,R,1,197202,1,62200000
赤坂見附,SRC,8,54,K,1,201212,24,90100000
麻布十番,SRC,5,76,R,2,200610,38,132300000
白金台,SRC,8,64,R,1,197911,5,52700000
麻布十番,SRC,4,26,R,1,197010,8,21200000
お台場海浜公園,RC,9,94,R,3,201201,11,100700000
乃木坂,RC,5,84,R,1,201509,12,142800000
高輪台,SRC,14,40,K,2,199702,5,32600000
白金台,SRC,5,73,R,1,199906,5,84800000
北品川,SRC,6,98,R,1,200911,14,145200000
外苑前,RC,5,44,DK,1,199703,8,45400000
乃木坂,RC,2,44,R,2,200607,10,58100000
天王洲アイル,RC,2,20,R,1,199901,2,15200000
天王洲アイル,RC,4,112,K,2,200502,8,124100000
三田,RC,9,46,K,1,200209,1,42400000
六本木一丁目,RC,10,124,R,2,198412,4,133200000
芝浦ふ頭,SRC,5,47,DK,1,200211,5,41500000
赤羽橋,RC,2,16,R,1,199711,31,20900000
六本木一丁目,RC,14,45,DK,3,200608,36,48600000
お台場海浜公園,RC,10,41,R,2,200804,4,36700000
お台場海浜公園,RC,6,97,K,2,201507,6,132400000
青山一丁目,SRC,8,45,K,2,200708,2,51100000
高輪台,RC,9,57,R,1,198202,11,39000000
高輪台,SRC,8,39,R,3,197909,7,29400000
広尾,SRC,2,19,R,3,200507,10,29100000
大門,RC,2,52,K,1,199702,4,42200000
汐留,RC,1,54,DK,1,200911,10,85100000
高輪台,SRC,6,125,DK,2,199004,8,145200000
表参道,SRC,5,80,DK,1,201309,10,174700000
白金高輪,RC,3,43,K,2,201003,3,55800000
赤坂,RC,2,34,DK,1,201109,3,51900000
芝公園,RC,10,52,R,2,200209,7,48000000
虎ノ門,SRC,10,55,DK,1,198201,6,40400000
汐留,RC,6,70,R,2,198110,21,66700000
六本木一丁目,SRC,2,23,R,1,196809,24,14400000
六本木一丁目,RC,5,33,K,1,201509,8,53100000
六本木一丁目,SRC,4,26,R,1,198102,30,18100000
六本木,SRC,3,68,DK,3,198310,8,74300000
高輪台,RC,6,41,R,2,200608,1,44900000
青山一丁目,RC,10,59,R,1,201709,12,90500000
白金台,SRC,10,50,K,1,197202,3,36200000
虎ノ門,SRC,3,22,R,2,201312,16,45500000
外苑前,SRC,6,18,K,1,201407,19,36700000
三田,SRC,6,36,R,2,200610,3,34800000
麻布十番,RC,4,58,DK,1,200708,2,76900000
六本木一丁目,SRC,8,31,K,2,201701,2,62200000
新橋,RC,1,56,K,1,197108,10,49100000
芝公園,SRC,5,23,R,1,199803,4,21600000
泉岳寺,SRC,4,42,K,1,199512,4,40800000
泉岳寺,RC,3,53,R,1,199204,8,51000000
乃木坂,SRC,3,84,R,2,200608,5,115400000
溜池山王,RC,8,55,R,1,201303,37,73900000
麻布十番,RC,2,134,DK,1,200209,1,170200000
天王洲アイル,SRC,10,30,K,1,200710,38,34500000
広尾,RC,6,58,R,1,200610,6,73800000
渋谷,SRC,2,41,K,1,199901,32,43100000
日の出,SRC,3,54,K,2,197809,12,38900000
大門,RC,4,87,R,2,197108,6,73300000
芝公園,SRC,6,19,R,1,200605,37,30700000
高輪台,SRC,7,19,K,2,200906,21,30600000
白金台,SRC,8,106,K,1,201202,17,212800000
赤坂見附,RC,10,78,R,1,200401,39,92000000
青山一丁目,SRC,10,47,DK,3,201509,4,64300000
新橋,SRC,5,38,DK,1,199803,6,33800000
北品川,RC,3,24,R,2,200602,1,26900000
五反田,RC,9,95,K,3,201005,27,120800000
大門,SRC,6,70,R,2,197805,2,55200000
青山一丁目,SRC,6,21,R,2,201002,7,37000000
青山一丁目,SRC,4,64,R,1,201007,22,121900000
赤羽橋,RC,12,107,DK,3,200007,6,103800000
五反田,RC,12,74,DK,2,201300,8,59600000
三田,RC,5,104,R,3,200203,1,97900000
赤坂見附,RC,12,29,R,1,200510,2,27700000
新橋,RC,3,37,DK,1,198011,5,29100000
お台場海浜公園,SRC,5,76,K,2,197012,4,50700000
神谷町,SRC,13,26,R,1,201801,9,42000000
大門,RC,4,80,K,3,198310,16,73700000
白金高輪,RC,5,18,K,2,199802,1,18300000
五反田,RC,8,23,K,1,199911,3,20300000
田町,SRC,5,37,R,2,200510,26,48000000
芝公園,RC,7,15,K,1,200106,12,20300000
溜池山王,RC,3,70,K,2,201210,5,113400000
表参道,SRC,6,65,K,1,200510,2,100300000
麻布十番,RC,2,61,R,2,200303,4,85800000
日の出,SRC,14,20,R,2,201509,27,34800000
お台場海浜公園,RC,7,64,K,1,200805,1,56300000
赤坂見附,SRC,1,78,R,3,201509,21,157300000
神谷町,RC,4,20,R,1,197910,3,13400000
渋谷,SRC,13,20,K,1,200508,6,18700000
六本木一丁目,RC,5,70,R,1,200902,19,116100000
御成門,SRC,10,65,LDK,1,200611,22,73200000
御成門,RC,5,57,K,2,201005,15,78400000
赤坂見附,RC,7,80,R,2,200610,9,95500000
白金台,SRC,2,86,K,1,198004,7,80400000
渋谷,RC,10,79,R,1,200304,15,82400000
青山一丁目,SRC,8,21,DK,1,198007,7,21800000
品川,SRC,5,80,R,2,201705,20,157100000
六本木一丁目,RC,10,63,R,2,200510,5,70100000
神谷町,SRC,8,27,DK,1,200002,3,27700000
お台場海浜公園,SRC,5,67,R,2,200512,1,60100000
六本木,RC,3,120,K,2,201401,8,264700000
六本木一丁目,SRC,2,84,R,1,200605,8,130000000
三田,RC,4,69,DK,2,200610,7,80600000
赤羽橋,SRC,3,20,K,1,199711,5,20500000
赤坂,RC,14,70,R,3,198103,40,56900000
外苑前,SRC,1,42,K,2,200610,8,57600000
高輪台,RC,4,21,R,2,201003,7,27800000
赤坂見附,RC,2,71,DK,3,200610,8,88400000
五反田,SRC,9,23,K,1,198210,2,13500000
白金高輪,SRC,4,88,R,2,201101,10,138200000
御成門,RC,3,71,K,1,200507,16,92800000
お台場海浜公園,RC,6,81,R,2,198103,26,66400000
高輪台,SRC,4,90,DK,1,199811,6,90600000
赤坂見附,SRC,9,18,DK,2,197909,6,13200000
六本木一丁目,SRC,8,66,R,2,200510,30,99000000
赤坂見附,RC,3,25,R,1,197908,4,22300000
虎ノ門,RC,6,40,DK,3,200002,16,46100000
赤坂,SRC,5,27,K,1,201509,14,51900000
六本木一丁目,RC,14,38,DK,1,197705,3,27600000
高輪台,SRC,6,44,R,1,199803,8,46400000
お台場海浜公園,RC,5,74,R,2,197206,9,57900000
渋谷,RC,8,26,R,3,201303,10,26400000
大門,RC,6,64,K,1,197808,12,49000000
神谷町,SRC,6,21,K,1,197105,5,13100000
汐留,RC,10,42,R,1,199710,4,43000000
赤坂,RC,9,48,R,3,200303,13,57400000
高輪台,RC,20,67,R,1,200602,4,56500000
青山一丁目,RC,11,20,DK,1,200407,1,18800000
赤坂,SRC,6,21,K,3,201011,14,35700000
汐留,RC,3,87,R,2,201111,3,128700000
赤坂,RC,1,30,K,2,201308,5,44100000
天王洲アイル,RC,6,30,K,1,197511,13,19700000
神谷町,RC,8,69,K,3,196908,24,58400000
白金高輪,SRC,6,125,K,1,200212,10,180300000
渋谷,SRC,2,17,K,2,201303,9,28700000
白金台,SRC,12,47,DK,1,200610,21,59000000
大門,RC,8,60,R,1,201208,3,63800000
御成門,SRC,9,57,DK,3,200508,7,54900000
渋谷,SRC,7,20,DK,2,200212,6,25800000
赤坂見附,SRC,13,43,K,1,200303,33,46800000
御成門,SRC,3,17,R,1,201401,12,30900000
赤坂,RC,6,22,K,1,201005,12,36600000
溜池山王,RC,6,61,K,1,197711,12,56400000
高輪台,RC,2,31,K,3,201405,9,42900000
表参道,SRC,4,67,K,2,200710,11,109800000
赤坂,SRC,6,135,K,2,197702,6,106300000
高輪台,SRC,4,101,K,1,200610,12,121600000
渋谷,RC,8,58,R,2,198008,24,43900000
汐留,RC,2,102,DK,1,201208,3,171700000
新橋,RC,6,55,R,1,197709,2,40600000
広尾,SRC,4,59,K,1,200804,12,103200000
溜池山王,SRC,5,24,K,1,200610,12,25800000
赤羽橋,SRC,2,43,R,1,200611,27,60900000
赤坂見附,SRC,5,57,DK,1,198010,1,48400000
赤羽橋,SRC,11,21,K,1,197605,4,13100000
虎ノ門,RC,10,69,R,1,201407,7,90500000
赤坂見附,SRC,2,59,K,2,197702,22,56100000
六本木,SRC,9,19,DK,2,197206,3,20400000
天王洲アイル,RC,1,89,K,1,200003,7,91200000
青山一丁目,RC,4,45,R,2,200401,13,58800000
赤坂見附,SRC,1,50,DK,2,200612,27,68900000
神谷町,RC,5,76,K,1,201509,4,134800000
表参道,SRC,6,87,R,1,200508,4,152300000
高輪台,RC,2,92,K,2,199803,4,89800000
大門,RC,10,19,R,2,197211,13,16900000
虎ノ門,SRC,7,90,K,1,200605,3,110200000
北品川,SRC,4,42,K,2,199810,10,40000000
三田,RC,13,35,R,2,198001,14,20700000
白金高輪,RC,6,88,R,2,200610,19,117600000
六本木,RC,3,16,R,1,200003,5,21200000
麻布十番,RC,4,60,R,2,201209,15,110000000
お台場海浜公園,SRC,3,19,R,1,200103,8,21800000
お台場海浜公園,RC,14,88,R,1,200610,13,72600000
渋谷,SRC,10,50,R,2,201308,4,54300000
新橋,RC,4,76,R,1,201408,5,96900000
青山一丁目,SRC,6,118,R,1,200308,3,180300000
表参道,SRC,10,19,DK,1,197703,15,13200000
溜池山王,RC,3,39,K,2,200610,9,52600000
白金高輪,RC,10,63,R,2,200510,30,75200000
品川,RC,12,51,R,1,197105,4,37000000
白金台,RC,3,96,R,1,197302,3,81800000
御成門,RC,2,51,R,1,199707,3,46800000
白金高輪,SRC,2,89,K,1,197105,19,86900000
高輪台,SRC,12,108,R,1,201509,6,145000000
お台場海浜公園,RC,3,38,R,1,198003,6,27900000
五反田,RC,8,61,R,1,201402,3,69100000
日の出,SRC,4,65,K,1,200906,19,93900000
麻布十番,RC,8,41,K,1,200209,10,49800000
高輪台,RC,5,20,K,2,200502,4,26100000
天王洲アイル,RC,1,44,R,1,200106,4,42100000
渋谷,SRC,4,129,DK,2,197105,8,105300000
田町,SRC,7,91,K,2,200610,6,87500000
浜松町,SRC,2,23,R,2,197803,5,15400000
泉岳寺,RC,2,51,R,3,200510,3,49600000
青山一丁目,SRC,1,84,R,1,201405,1,147600000
芝浦ふ頭,RC,8,85,R,1,199910,1,66100000
渋谷,RC,1,132,R,1,200802,1,147000000
赤坂見附,SRC,2,59,K,1,200710,3,67800000
新橋,RC,8,40,DK,1,198305,3,32500000
白金高輪,RC,9,70,R,2,200508,12,71900000
六本木一丁目,SRC,1,90,R,2,198111,18,90800000
新橋,SRC,9,57,R,2,200511,3,53200000
外苑前,SRC,12,51,DK,1,200610,11,59500000
乃木坂,SRC,4,45,R,2,198011,17,39300000
目黒,RC,3,72,R,1,200303,9,76300000
青山一丁目,RC,4,62,K,1,201003,4,91000000
品川,RC,5,45,R,1,198303,5,39700000
目黒,RC,3,54,R,1,199903,5,44400000
高輪台,SRC,4,82,R,1,197907,3,68800000
芝公園,SRC,4,36,LDK,2,200710,4,41500000
泉岳寺,RC,7,70,DK,3,197310,16,52900000
北品川,SRC,14,49,DK,1,198405,20,31600000
乃木坂,SRC,2,72,R,1,201509,45,170900000
天王洲アイル,RC,3,66,K,1,200610,3,62100000
御成門,SRC,8,71,K,1,200610,3,70600000
乃木坂,RC,10,22,R,2,200611,6,27900000
新橋,SRC,10,38,K,1,200610,4,38100000
北品川,SRC,1,74,K,2,199603,3,64000000
泉岳寺,RC,7,59,DK,3,199205,25,63100000
外苑前,RC,15,31,K,2,201902,7,42700000
赤坂見附,RC,13,83,DK,1,200610,5,84300000
新橋,RC,14,61,R,3,200610,2,53700000
芝公園,SRC,6,30,R,2,201302,4,39000000
虎ノ門,RC,8,34,K,2,201111,2,37900000
五反田,SRC,6,113,R,2,197211,3,88200000
高輪台,RC,13,121,DK,1,200104,6,116600000
乃木坂,RC,7,53,K,1,200406,13,69600000
赤坂見附,RC,13,67,R,1,201407,12,77000000
三田,SRC,8,88,K,3,200510,2,91300000
五反田,RC,8,21,K,1,200610,7,22100000
芝公園,RC,5,70,R,1,201202,17,90000000
五反田,RC,12,80,R,2,201301,2,81300000
大門,RC,5,50,K,1,197902,4,37800000
泉岳寺,SRC,10,82,K,2,199706,6,73200000
赤羽橋,SRC,4,150,K,2,200203,5,228400000
赤坂,RC,15,70,DK,1,200405,8,77500000
乃木坂,SRC,5,25,R,1,197202,4,15200000
大門,SRC,8,53,R,1,197503,3,38800000
広尾,SRC,1,88,K,3,200308,10,144100000
新橋,RC,5,83,DK,2,200511,12,96900000
北品川,SRC,3,80,R,3,200610,3,79800000
新橋,SRC,1,58,K,2,200710,4,64600000
三田,RC,4,66,R,1,200102,29,80400000
三田,RC,2,17,K,2,198506,23,19200000
北品川,RC,4,66,DK,1,200502,6,66000000
目黒,SRC,5,25,K,1,201109,38,38700000
御成門,RC,5,198,K,2,200310,9,273800000
大門,SRC,14,74,R,1,200610,5,63100000
白金高輪,SRC,3,160,R,3,201003,27,311400000
六本木,SRC,2,31,K,2,200605,13,44400000
青山一丁目,SRC,6,100,K,2,200611,2,126200000
広尾,SRC,14,55,DK,3,201208,2,65400000
赤坂見附,RC,7,18,K,1,200511,4,18100000
白金高輪,RC,5,23,R,1,200510,22,25700000
青山一丁目,SRC,6,108,R,1,198310,4,120600000
芝浦ふ頭,RC,4,104,K,1,200205,6,100800000
広尾,SRC,2,46,R,1,200502,4,57300000
大門,SRC,12,21,DK,2,201310,4,26100000
渋谷,RC,4,71,K,2,199703,14,65700000
外苑前,SRC,3,50,K,3,197904,7,40000000
六本木,RC,4,50,DK,1,198309,4,50000000
赤坂,SRC,10,56,R,2,198001,16,46600000
青山一丁目,RC,12,38,R,2,200508,8,43100000
白金台,SRC,8,62,DK,2,200102,7,72900000
白金高輪,SRC,5,56,R,1,199807,4,58700000
神谷町,RC,20,37,LK,2,200610,4,40500000
芝公園,SRC,5,38,K,2,201405,12,47700000
田町,SRC,10,84,DK,2,200401,18,83100000
品川,SRC,1,112,K,2,200610,3,133800000
虎ノ門,SRC,9,85,R,2,200610,2,97600000
北品川,SRC,3,79,R,2,200510,33,101100000
天王洲アイル,SRC,5,43,R,2,201005,2,49700000
青山一丁目,RC,1,123,K,1,200710,5,213700000
芝浦ふ頭,RC,6,16,K,1,200906,3,16300000
六本木一丁目,RC,4,76,R,2,201401,20,146400000
日の出,RC,9,45,K,2,197202,27,35700000
赤坂見附,RC,9,67,R,3,200512,28,75600000
浜松町,SRC,13,67,R,1,200507,2,46600000
芝浦ふ頭,RC,2,47,R,1,199803,11,45100000
六本木一丁目,SRC,5,22,K,2,197302,12,15600000
青山一丁目,RC,9,19,R,2,200001,3,19700000
麻布十番,SRC,4,106,K,2,200611,11,176900000
表参道,RC,3,38,K,2,200505,21,65100000
泉岳寺,SRC,2,65,DK,1,198311,7,51000000
神谷町,SRC,3,103,DK,2,198203,15,97900000
芝浦ふ頭,RC,13,133,K,1,200906,2,138400000
お台場海浜公園,SRC,14,121,K,1,196803,22,86400000
大門,RC,2,51,K,2,197105,4,41500000
お台場海浜公園,RC,8,39,DK,1,201402,13,42600000
表参道,RC,13,44,R,1,201403,8,61100000
赤坂,SRC,4,56,K,2,200508,5,80500000
五反田,RC,10,37,K,2,197705,2,21900000
汐留,SRC,4,21,R,2,200305,13,30300000
表参道,RC,8,16,K,1,199512,2,23200000
田町,RC,7,48,K,2,201401,12,52700000
日の出,RC,7,63,K,2,200607,13,71800000
乃木坂,SRC,2,63,R,1,200510,25,92300000
北品川,RC,8,65,DK,2,200610,5,62000000
外苑前,SRC,6,43,R,1,196808,2,35700000
虎ノ門,SRC,13,73,K,3,200105,2,66400000
五反田,SRC,5,79,R,1,200509,9,84300000
品川,SRC,4,22,R,3,200003,3,24500000
汐留,RC,4,31,R,1,201408,9,39400000
神谷町,RC,10,84,DK,2,198004,30,78400000
汐留,SRC,2,91,K,1,201005,5,151600000
芝公園,RC,1,61,R,2,201312,3,80100000
白金台,SRC,3,56,R,2,200405,12,73400000
外苑前,RC,10,52,DK,1,200611,3,57700000
表参道,RC,6,45,K,2,199804,48,60800000
品川,SRC,5,56,R,1,201110,3,78000000
外苑前,RC,8,61,K,2,200407,4,74800000
赤坂見附,SRC,2,51,K,1,200209,2,52700000
お台場海浜公園,SRC,3,50,R,3,197909,10,33900000
神谷町,SRC,2,20,R,3,201608,5,43600000
新橋,SRC,4,38,DK,1,200608,12,38900000
浜松町,SRC,10,41,K,2,201103,8,43600000
白金高輪,SRC,3,15,K,1,201202,8,20200000
北品川,SRC,7,104,R,1,199804,3,102200000
麻布十番,SRC,3,25,K,1,200608,4,38800000
汐留,SRC,8,50,R,2,196902,11,32500000
白金台,SRC,13,43,K,1,200310,37,49400000
溜池山王,SRC,5,89,DK,3,197111,6,83000000
六本木一丁目,RC,12,62,DK,1,200003,13,62200000
赤羽橋,RC,2,63,K,3,201202,3,74200000
目黒,SRC,6,17,R,2,200105,2,20100000
三田,RC,2,33,R,2,200604,6,40400000
乃木坂,SRC,4,32,DK,1,196906,3,23600000
芝浦ふ頭,RC,11,38,R,3,197308,7,20400000
白金高輪,SRC,10,63,R,2,197605,4,43500000
赤坂見附,RC,10,25,DK,1,200508,5,24500000
神谷町,SRC,2,99,R,1,197209,6,79700000
六本木,SRC,6,52,R,1,201802,3,101500000
六本木一丁目,SRC,5,20,K,2,200105,23,24300000
汐留,RC,3,73,K,2,197712,33,81600000
表参道,SRC,12,133,R,2,200310,7,176800000
浜松町,SRC,5,94,K,3,200308,30,120200000
赤羽橋,RC,1,25,K,1,200608,6,34400000
品川,SRC,4,62,K,1,200507,5,76800000
白金高輪,SRC,8,37,R,1,198001,11,25900000
赤羽橋,SRC,1,51,DK,1,200508,24,71200000
日の出,RC,3,84,DK,1,201402,12,115700000
御成門,RC,10,66,K,1,200508,30,68600000
白金高輪,RC,13,22,R,2,198312,6,18100000
天王洲アイル,RC,4,68,R,1,198001,5,43000000
三田,RC,7,37,K,1,200610,7,44400000
五反田,RC,6,25,K,1,200602,7,27400000
乃木坂,RC,6,34,R,2,197005,7,26900000
汐留,RC,8,22,R,2,200811,12,32000000
新橋,SRC,3,78,R,1,200710,5,87400000
新橋,RC,2,34,R,2,199710,9,36400000
芝公園,RC,8,60,R,2,199903,21,58500000
麻布十番,SRC,6,48,DK,2,201203,2,61400000
虎ノ門,RC,5,70,K,2,201403,12,115300000
六本木一丁目,RC,3,91,K,1,198506,8,95700000
麻布十番,RC,8,53,DK,1,197302,9,45800000
六本木一丁目,SRC,8,80,K,1,200103,2,102900000
六本木,SRC,5,22,R,1,200401,16,27100000
五反田,SRC,12,27,DK,1,200611,3,24600000
虎ノ門,SRC,2,16,R,1,201509,12,37800000
五反田,SRC,10,53,R,1,198310,6,34500000
お台場海浜公園,SRC,6,21,R,1,201206,13,30400000
表参道,SRC,5,85,R,1,200302,34,163200000
芝浦ふ頭,SRC,4,23,K,2,200409,18,27000000
御成門,SRC,4,35,K,3,197512,3,24500000
目黒,SRC,2,62,K,1,201509,11,93900000
天王洲アイル,SRC,3,66,R,1,200511,26,77800000
渋谷,SRC,2,24,R,2,199909,6,19100000
赤坂,RC,2,135,R,3,201212,7,257700000
お台場海浜公園,SRC,4,21,R,1,200610,2,17600000
神谷町,SRC,1,102,K,2,200911,10,208900000
六本木,RC,3,57,K,1,200509,1,72900000
六本木一丁目,RC,14,81,R,1,200710,2,92200000
青山一丁目,RC,9,23,R,1,200007,1,25800000
赤坂見附,SRC,10,25,R,3,201407,4,36700000
白金台,SRC,6,53,K,1,200611,2,71000000
乃木坂,RC,6,79,R,3,200209,10,104400000
泉岳寺,RC,4,56,R,3,200610,16,74300000
北品川,RC,2,21,R,2,200209,4,21800000
乃木坂,SRC,8,53,K,1,197304,8,42700000
天王洲アイル,RC,4,25,K,2,200607,4,28900000
三田,RC,6,62,R,1,200610,11,66500000
渋谷,SRC,12,77,R,2,201201,4,76200000
日の出,SRC,7,44,K,3,200906,12,51500000
六本木一丁目,RC,8,48,R,3,200710,16,62600000
六本木,SRC,5,76,R,3,199603,24,105700000
渋谷,SRC,6,54,K,3,197209,16,38800000
北品川,RC,6,52,R,1,200209,1,40400000
乃木坂,RC,12,94,R,2,198211,6,67900000
赤坂見附,RC,8,13,DK,1,201110,6,21300000
田町,RC,10,103,R,3,198202,30,75700000
乃木坂,SRC,6,57,DK,2,200209,30,78300000
高輪台,RC,5,70,R,2,201402,5,87300000
赤羽橋,RC,7,115,K,1,197903,3,85500000
乃木坂,SRC,5,63,DK,2,201608,1,128700000
芝浦ふ頭,RC,8,39,R,1,200708,5,35500000
虎ノ門,RC,13,42,R,4,201405,4,44200000
田町,RC,8,37,R,2,198111,3,28200000
浜松町,RC,6,24,K,1,200304,5,23000000
日の出,RC,12,71,LK,1,200510,27,70100000
白金高輪,RC,6,57,R,1,198201,23,52500000
赤羽橋,RC,5,95,K,2,200608,8,113100000
御成門,SRC,8,131,K,1,200906,2,177800000
青山一丁目,SRC,5,84,R,1,197811,7,87400000
日の出,SRC,3,20,K,2,201501,4,27600000
御成門,SRC,9,31,K,3,201208,6,38500000
三田,RC,6,75,R,2,200403,4,81600000
青山一丁目,SRC,6,68,K,3,200510,8,91900000
田町,RC,5,62,DK,2,198305,6,55400000
外苑前,SRC,8,25,DK,1,201003,7,40700000
赤坂見附,RC,4,42,R,3,200311,7,43400000
麻布十番,SRC,6,37,R,2,200611,3,42000000
虎ノ門,SRC,4,88,R,1,200502,17,133600000
芝公園,SRC,8,65,R,2,197811,2,49500000
大門,SRC,6,66,DK,2,200804,2,79600000
田町,SRC,6,42,R,1,197703,7,34500000
赤羽橋,SRC,10,49,DK,2,200502,29,52500000
泉岳寺,SRC,3,62,K,1,200805,25,111300000
青山一丁目,SRC,8,71,DK,1,201701,6,131900000
浜松町,SRC,1,39,R,1,200505,17,52200000
白金高輪,SRC,9,60,R,1,201308,9,79400000
御成門,SRC,6,41,R,2,198204,10,35300000
六本木,SRC,3,75,DK,1,197907,4,80900000
麻布十番,SRC,7,20,R,1,200209,2,22900000
渋谷,RC,8,60,K,2,197803,5,45600000
三田,RC,3,57,K,2,201005,8,70200000
麻布十番,SRC,1,134,K,1,200610,31,279000000
新橋,SRC,5,57,R,2,197310,16,45100000
天王洲アイル,RC,6,18,R,2,198309,2,15200000
六本木一丁目,SRC,8,20,K,3,201902,3,43300000
天王洲アイル,SRC,11,82,K,2,200105,2,64500000
品川,RC,5,60,K,1,200202,2,61700000
